date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:02:29	81274/81274	---M-Z	200	added ('OK')	text/html	date:Sat,%2029%20Nov%202025%2010:02:28%20GMT	https://www.menada-winery.com/en	/home/acrtech/websites/wine/www.menada-winery.com/en.html	(from )
10:02:30	64/64	---M--	200	added ('OK')	text/plain	date:Tue,%2006%20Mar%202018%2012:23:32%20GMT	https://www.menada-winery.com/robots.txt		(from )
10:02:31	86168/86168	---M-Z	200	added ('OK')	text/html	date:Sat,%2029%20Nov%202025%2010:02:31%20GMT	https://www.menada-winery.com/	/home/acrtech/websites/wine/www.menada-winery.com/index.html	(from https://www.menada-winery.com/en)
10:02:31	171294/171294	---M--	200	added ('OK')	image/jpeg	date:Tue,%2006%20Mar%202018%2012:23:35%20GMT	https://www.menada-winery.com/images/menada-winery-og_image.jpg	/home/acrtech/websites/wine/www.menada-winery.com/images/menada-winery-og_image.jpg	(from https://www.menada-winery.com/en)
10:02:31	1150/1150	---M--	200	added ('OK')	image/x-icon	date:Tue,%2006%20Mar%202018%2012:23:35%20GMT	https://www.menada-winery.com/images/favicon.ico	/home/acrtech/websites/wine/www.menada-winery.com/images/favicon.ico	(from https://www.menada-winery.com/en)
10:02:32	465/465	---M--	200	added ('OK')	image/png	date:Tue,%2006%20Mar%202018%2012:23:35%20GMT	https://www.menada-winery.com/images/fav-16x16.png	/home/acrtech/websites/wine/www.menada-winery.com/images/fav-16x16.png	(from https://www.menada-winery.com/en)
10:02:33	1091/1091	---M--	200	added ('OK')	image/png	date:Tue,%2006%20Mar%202018%2012:23:35%20GMT	https://www.menada-winery.com/images/fav-32x32.png	/home/acrtech/websites/wine/www.menada-winery.com/images/fav-32x32.png	(from https://www.menada-winery.com/en)
10:02:34	4611/4611	---M--	200	added ('OK')	image/png	date:Tue,%2006%20Mar%202018%2012:23:35%20GMT	https://www.menada-winery.com/images/fav-96x96.png	/home/acrtech/websites/wine/www.menada-winery.com/images/fav-96x96.png	(from https://www.menada-winery.com/en)
10:02:36	257985/257985	---M--	200	added ('OK')	text/css	date:Thu,%2018%20Sep%202025%2007:49:32%20GMT	https://www.menada-winery.com/css/style.css?v=20251018	/home/acrtech/websites/wine/www.menada-winery.com/css/style414b.css	(from https://www.menada-winery.com/en)
10:02:37	5786/5786	---M--	200	added ('OK')	image/svg+xml	date:Tue,%2006%20Mar%202018%2012:23:35%20GMT	https://www.menada-winery.com/images/cookies-image.svg	/home/acrtech/websites/wine/www.menada-winery.com/images/cookies-image.svg	(from https://www.menada-winery.com/en)
10:02:37	162224/162224	---M--	200	added ('OK')	image/gif	date:Tue,%2006%20Mar%202018%2012:23:35%20GMT	https://www.menada-winery.com/images/preloaderMenada.gif	/home/acrtech/websites/wine/www.menada-winery.com/images/preloaderMenada.gif	(from https://www.menada-winery.com/en)
10:02:39	117523/117523	---M--	200	added ('OK')	image/jpeg	date:Tue,%2006%20Mar%202018%2015:08:36%20GMT	https://www.menada-winery.com/images/homepage/age-check.jpg	/home/acrtech/websites/wine/www.menada-winery.com/images/homepage/age-check.jpg	(from https://www.menada-winery.com/en)
10:02:39	2207/2207	---M--	200	added ('OK')	image/jpeg	date:Tue,%2006%20Mar%202018%2012:23:45%20GMT	https://www.menada-winery.com/images/homepage/age-check-side-leaf.jpg	/home/acrtech/websites/wine/www.menada-winery.com/images/homepage/age-check-side-leaf.jpg	(from https://www.menada-winery.com/en)
10:02:40	8869/8869	---M--	200	added ('OK')	image/png	date:Mon,%2021%20Mar%202022%2009:17:53%20GMT	https://www.menada-winery.com/images/homepage/age-check-menada-logo-new.png	/home/acrtech/websites/wine/www.menada-winery.com/images/homepage/age-check-menada-logo-new.png	(from https://www.menada-winery.com/en)
10:02:41	7174/7174	---M--	200	added ('OK')	image/jpeg	date:Tue,%2006%20Mar%202018%2012:23:46%20GMT	https://www.menada-winery.com/images/homepage/age-check-text-bg.jpg	/home/acrtech/websites/wine/www.menada-winery.com/images/homepage/age-check-text-bg.jpg	(from https://www.menada-winery.com/en)
10:02:42	5625/5625	---M--	200	added ('OK')	image/png	date:Tue,%2006%20Mar%202018%2015:36:17%20GMT	https://www.menada-winery.com/images/homepage/footer-image.png	/home/acrtech/websites/wine/www.menada-winery.com/images/homepage/footer-image.png	(from https://www.menada-winery.com/en)
10:02:43	9929/9929	---M--	200	added ('OK')	image/png	date:Tue,%2012%20Jun%202018%2012:59:46%20GMT	https://www.menada-winery.com/images/homepage/hm_label.png?v=20180612	/home/acrtech/websites/wine/www.menada-winery.com/images/homepage/hm_labeldd3f.png	(from https://www.menada-winery.com/en)
10:02:44	2525/2525	---M--	200	added ('OK')	image/png	date:Tue,%2006%20Nov%202018%2008:30:39%20GMT	https://www.menada-winery.com/images/homepage/menadamarkW3.png	/home/acrtech/websites/wine/www.menada-winery.com/images/homepage/menadamarkW3.png	(from https://www.menada-winery.com/en)
10:02:45	7131/7131	---M--	200	added ('OK')	image/png	date:Mon,%2021%20Mar%202022%2009:17:53%20GMT	https://www.menada-winery.com/images/homepage/menada-logo-header-new.png	/home/acrtech/websites/wine/www.menada-winery.com/images/homepage/menada-logo-header-new.png	(from https://www.menada-winery.com/en)
10:02:46	13489/13489	---M--	200	added ('OK')	image/jpeg	date:Tue,%2006%20Mar%202018%2012:23:47%20GMT	https://www.menada-winery.com/images/menu/home-bg.jpg	/home/acrtech/websites/wine/www.menada-winery.com/images/menu/home-bg.jpg	(from https://www.menada-winery.com/en)
10:02:47	7131/7131	---M--	200	added ('OK')	image/png	date:Mon,%2021%20Mar%202022%2009:18:31%20GMT	https://www.menada-winery.com/images/menu/menada-logo-header-new.png	/home/acrtech/websites/wine/www.menada-winery.com/images/menu/menada-logo-header-new.png	(from https://www.menada-winery.com/en)
10:02:48	13162/13162	---M--	200	added ('OK')	image/jpeg	date:Tue,%2006%20Mar%202018%2012:23:46%20GMT	https://www.menada-winery.com/images/menu/about-bg.jpg	/home/acrtech/websites/wine/www.menada-winery.com/images/menu/about-bg.jpg	(from https://www.menada-winery.com/en)
10:02:49	47122/47122	---M-Z	200	added ('OK')	text/html	date:Sat,%2029%20Nov%202025%2010:02:49%20GMT	https://www.menada-winery.com/en/about	/home/acrtech/websites/wine/www.menada-winery.com/en/about.html	(from https://www.menada-winery.com/en)
10:02:50	4527/4527	---M--	200	added ('OK')	image/jpeg	date:Tue,%2006%20Mar%202018%2012:23:46%20GMT	https://www.menada-winery.com/images/menu/history-bg.jpg	/home/acrtech/websites/wine/www.menada-winery.com/images/menu/history-bg.jpg	(from https://www.menada-winery.com/en)
10:02:51	48371/48371	---M-Z	200	added ('OK')	text/html	date:Sat,%2029%20Nov%202025%2010:02:51%20GMT	https://www.menada-winery.com/en/history	/home/acrtech/websites/wine/www.menada-winery.com/en/history.html	(from https://www.menada-winery.com/en)
10:02:52	12503/12503	---M--	200	added ('OK')	image/jpeg	date:Tue,%2006%20Mar%202018%2012:23:47%20GMT	https://www.menada-winery.com/images/menu/region.jpg	/home/acrtech/websites/wine/www.menada-winery.com/images/menu/region.jpg	(from https://www.menada-winery.com/en)
10:02:53	50103/50103	---M-Z	200	added ('OK')	text/html	date:Sat,%2029%20Nov%202025%2010:02:53%20GMT	https://www.menada-winery.com/en/region	/home/acrtech/websites/wine/www.menada-winery.com/en/region.html	(from https://www.menada-winery.com/en)
10:02:54	57752/57752	---M-Z	200	added ('OK')	text/html	date:Sat,%2029%20Nov%202025%2010:02:54%20GMT	https://www.menada-winery.com/en/products	/home/acrtech/websites/wine/www.menada-winery.com/en/products.html	(from https://www.menada-winery.com/en)
10:02:55	2874/2874	---M--	200	added ('OK')	image/svg+xml	date:Tue,%2006%20Mar%202018%2012:23:47%20GMT	https://www.menada-winery.com/images/menu/tcherga-logo.svg	/home/acrtech/websites/wine/www.menada-winery.com/images/menu/tcherga-logo.svg	(from https://www.menada-winery.com/en)
10:02:56	61897/61897	---M--	200	added ('OK')	image/png	date:Tue,%2003%20Sep%202019%2007:46:40%20GMT	https://www.menada-winery.com/images/menu/tcherga-bottles.png	/home/acrtech/websites/wine/www.menada-winery.com/images/menu/tcherga-bottles.png	(from https://www.menada-winery.com/en)
10:02:57	59840/59840	---M-Z	200	added ('OK')	text/html	date:Sat,%2029%20Nov%202025%2010:02:57%20GMT	https://www.menada-winery.com/en/products/tcherga	/home/acrtech/websites/wine/www.menada-winery.com/en/products/tcherga.html	(from https://www.menada-winery.com/en)
10:02:58	5709/5709	---M--	200	added ('OK')	image/svg+xml	date:Tue,%2006%20Mar%202018%2012:23:47%20GMT	https://www.menada-winery.com/images/menu/menada.svg	/home/acrtech/websites/wine/www.menada-winery.com/images/menu/menada.svg	(from https://www.menada-winery.com/en)
10:02:59	66758/66758	---M--	200	added ('OK')	image/png	date:Wed,%2013%20Nov%202024%2010:44:51%20GMT	https://www.menada-winery.com/images/menu/menada-bottles.png	/home/acrtech/websites/wine/www.menada-winery.com/images/menu/menada-bottles.png	(from https://www.menada-winery.com/en)
